sale_id,sale_rep_id,sale_date,car_model,sale_amount,commission_pct,sale_status,commission_amount
89,9,2024-11-08,Highlander,40059.49,0.02,Cancelled,801.1898
90,17,2024-11-10,Camry,28320.6,0.02,Completed,566.412
91,4,2024-11-16,RAV4,27570.51,0.05,Completed,1378.5255
92,11,2024-11-17,Tundra,41604.28,0.02,Completed,832.0856
93,4,2024-11-13,Camry,29643.38,0.03,Completed,889.3014
94,9,2024-11-22,RAV4,31095.34,,Pending,0.0
95,9,2024-11-16,Camry,25753.83,0.05,Completed,1287.6915000000001
96,16,2024-11-17,Highlander,44498.46,0.03,Completed,1334.9538
97,6,2024-11-23,Highlander,41994.79,,Completed,0.0
98,1,2024-11-07,Tacoma,31378.09,0.02,Completed,627.5618000000001
99,1,2024-11-04,Tundra,39879.41,0.02,Completed,797.5882000000001
100,16,2024-11-20,Camry,25962.56,0.02,Completed,519.2512
101,7,2024-11-13,RAV4,32219.86,0.03,Pending,966.5957999999999
102,2,2024-11-01,Tacoma,36531.02,,Completed,0.0
103,6,2024-11-04,Highlander,39423.27,0.02,Cancelled,788.4653999999999
104,13,2024-11-01,Highlander,38543.89,0.05,Completed,1927.1945
105,2,2024-11-12,Tacoma,34122.47,,Completed,0.0
106,13,2024-11-02,Tacoma,39453.45,0.03,Completed,1183.6035
107,12,2024-11-09,Tacoma,39783.31,,Completed,0.0
108,15,2024-11-02,Camry,29272.05,0.02,Completed,585.441
109,9,2024-11-20,Tundra,49740.82,0.03,Completed,1492.2246
110,2,2024-11-06,Highlander,37539.94,0.03,Completed,1126.1982
111,14,2024-11-04,RAV4,32369.5,0.05,Completed,1618.4750000000001
112,15,2024-11-13,Corolla,23462.78,,Completed,0.0
113,12,2024-11-21,Corolla,23337.92,0.05,Pending,1166.896
114,15,2024-11-13,RAV4,32588.93,0.05,Pending,1629.4465
115,17,2024-11-12,Highlander,40136.52,,Completed,0.0
116,3,2024-11-30,Tundra,45031.33,0.05,Completed,2251.5665000000004
117,3,2024-11-03,RAV4,30514.65,0.02,Completed,610.293
118,6,2024-11-11,Tacoma,33363.87,0.02,Pending,667.2774000000001
119,14,2024-11-18,Tacoma,38880.67,0.03,Pending,1166.4200999999998
120,11,2024-11-05,Tacoma,30601.62,0.03,Completed,918.0486
121,9,2024-11-29,Tundra,38943.11,,Completed,0.0
122,3,2024-11-23,Tundra,39229.17,0.02,Completed,784.5834
123,8,2024-11-01,Highlander,40575.11,0.02,Completed,811.5022
124,16,2024-11-10,Corolla,24406.89,0.02,Completed,488.13779999999997
125,4,2024-11-20,Highlander,42013.85,,Completed,0.0
126,5,2024-11-11,Highlander,36509.85,,Completed,0.0
127,18,2024-11-03,Camry,29966.2,0.05,Completed,1498.3100000000002
128,19,2024-11-24,Tacoma,32581.98,,Pending,0.0
129,6,2024-11-18,Tacoma,38842.88,0.05,Completed,1942.144
130,15,2024-11-18,RAV4,28943.6,,Completed,0.0
131,1,2024-11-09,Camry,25252.56,0.05,Completed,1262.6280000000002
132,8,2024-11-06,Tacoma,37307.8,0.02,Completed,746.1560000000001
133,9,2024-11-14,Tacoma,31007.88,0.02,Completed,620.1576
134,16,2024-11-24,RAV4,34922.1,0.05,Completed,1746.105
135,18,2024-11-25,Tacoma,35290.89,,Completed,0.0
136,19,2024-11-06,Corolla,20623.96,0.05,Completed,1031.198
137,1,2024-11-17,Tundra,41883.61,0.02,Completed,837.6722
138,4,2024-11-16,RAV4,34275.87,0.03,Completed,1028.2761
139,15,2024-11-27,RAV4,27721.47,0.05,Pending,1386.0735000000002
140,9,2024-11-10,Tundra,47151.69,,Completed,0.0
141,1,2024-11-20,Tacoma,33826.62,0.02,Completed,676.5324
142,4,2024-11-29,Tundra,44231.11,0.05,Completed,2211.5555
143,14,2024-11-17,Camry,26872.03,0.05,Completed,1343.6015
144,13,2024-11-25,Corolla,20845.5,0.03,Pending,625.365
145,18,2024-11-07,Camry,27806.57,0.05,Completed,1390.3285
146,8,2024-11-01,Highlander,43146.67,0.05,Completed,2157.3335
147,12,2024-11-24,RAV4,33066.4,0.02,Completed,661.3280000000001
148,12,2024-11-07,RAV4,27872.31,0.02,Pending,557.4462000000001
149,7,2024-11-18,Tacoma,37076.19,,Pending,0.0
150,1,2024-11-09,Corolla,24432.4,0.02,Completed,488.648
151,2,2024-11-24,Highlander,40278.82,,Completed,0.0
152,16,2024-11-30,Highlander,37248.17,0.05,Completed,1862.4085
153,20,2024-11-03,Highlander,37734.38,0.05,Completed,1886.719
154,20,2024-11-01,RAV4,27486.46,,Completed,0.0
155,12,2024-11-12,Highlander,40324.3,0.02,Completed,806.4860000000001
156,13,2024-11-07,Highlander,38807.13,0.02,Completed,776.1426
157,9,2024-11-09,Highlander,35171.35,,Completed,0.0
158,10,2024-11-24,Corolla,24909.72,,Completed,0.0
159,13,2024-11-01,Tundra,37550.39,0.02,Completed,751.0078
160,3,2024-11-06,Camry,27221.08,0.05,Pending,1361.054
161,13,2024-11-29,Camry,29089.35,0.02,Completed,581.787
162,12,2024-11-21,Highlander,37316.35,0.02,Completed,746.327
163,18,2024-11-13,Camry,28167.24,,Completed,0.0
164,15,2024-11-17,Camry,25177.34,0.03,Completed,755.3202
165,16,2024-11-17,Tacoma,39988.91,0.02,Completed,799.7782000000001
166,7,2024-11-03,RAV4,33404.57,0.02,Completed,668.0914
167,16,2024-11-28,Camry,28485.02,0.02,Completed,569.7004000000001
168,3,2024-11-07,Tacoma,38039.59,0.05,Pending,1901.9795
169,5,2024-11-09,Highlander,42278.65,0.05,Pending,2113.9325000000003
170,7,2024-11-17,Corolla,23253.52,0.05,Pending,1162.6760000000002
171,3,2024-11-07,Tacoma,35746.18,0.02,Completed,714.9236
172,6,2024-11-07,Tacoma,30713.38,0.02,Completed,614.2676
173,4,2024-11-23,RAV4,28278.86,0.05,Completed,1413.9430000000002
174,18,2024-11-29,Corolla,22339.72,0.03,Pending,670.1916
175,14,2024-11-26,Tundra,46076.94,0.02,Completed,921.5388
176,12,2024-11-25,Tundra,44617.16,,Completed,0.0
177,2,2024-11-26,Corolla,21893.84,,Completed,0.0
178,14,2024-11-01,RAV4,29085.6,0.02,Completed,581.712
179,7,2024-11-15,Tundra,47161.39,0.05,Completed,2358.0695
180,15,2024-11-30,Tundra,46570.68,0.02,Completed,931.4136
181,14,2024-11-11,Highlander,44884.5,,Pending,0.0
182,8,2024-11-24,Camry,25608.73,0.05,Completed,1280.4365
183,7,2024-11-22,Corolla,22867.53,,Pending,0.0
184,9,2024-11-05,RAV4,34768.49,0.02,Completed,695.3697999999999
185,2,2024-11-13,Tundra,40320.53,0.05,Completed,2016.0265
186,7,2024-11-12,RAV4,34713.48,0.02,Completed,694.2696000000001
187,4,2024-11-08,Camry,26224.6,,Completed,0.0
188,15,2024-11-21,Tundra,44773.12,0.03,Completed,1343.1936
189,15,2024-11-03,Corolla,21735.5,,Completed,0.0
190,1,2024-11-21,Tundra,49737.34,0.05,Pending,2486.867
191,17,2024-11-17,Tundra,39483.74,0.02,Completed,789.6748
192,19,2024-11-03,Highlander,44105.14,0.03,Completed,1323.1542
193,20,2024-11-04,Tacoma,32887.14,0.02,Completed,657.7428
194,11,2024-11-11,Tundra,40343.46,,Completed,0.0
195,17,2024-11-06,Highlander,37005.28,0.02,Completed,740.1056
196,11,2024-11-09,RAV4,29093.11,,Completed,0.0
197,17,2024-11-08,RAV4,28611.77,0.03,Completed,858.3530999999999
198,3,2024-11-09,Camry,25062.95,,Completed,0.0
199,6,2024-11-17,Corolla,23423.36,0.02,Completed,468.46720000000005
200,13,2024-11-24,Corolla,24257.34,0.02,Pending,485.1468
201,9,2024-11-10,Camry,26339.37,,Cancelled,0.0
202,20,2024-11-11,Highlander,40517.24,0.03,Completed,1215.5172
203,19,2024-11-18,RAV4,34245.12,0.03,Completed,1027.3536000000001
204,5,2024-11-01,RAV4,34529.56,0.03,Completed,1035.8868
205,13,2024-11-21,RAV4,34392.53,0.05,Pending,1719.6265
206,18,2024-11-17,Tacoma,39783.43,0.02,Completed,795.6686
207,5,2024-11-28,Highlander,35552.15,0.05,Completed,1777.6075
208,7,2024-11-12,Camry,26861.98,,Pending,0.0
209,1,2024-11-01,Corolla,24676.47,0.02,Completed,493.5294
210,1,2024-11-22,RAV4,30120.17,,Completed,0.0
211,13,2024-11-24,Corolla,21446.76,0.03,Pending,643.4028
212,11,2024-11-09,Corolla,20061.03,,Completed,0.0
213,19,2024-11-16,Highlander,36134.49,0.03,Completed,1084.0347
214,19,2024-11-16,Camry,25571.72,0.05,Completed,1278.5860000000002
215,6,2024-11-02,RAV4,34934.48,0.05,Completed,1746.7240000000002
216,14,2024-11-25,Corolla,23870.01,0.03,Completed,716.1003
217,11,2024-11-15,Camry,26279.43,0.05,Pending,1313.9715
218,5,2024-11-25,Tundra,47154.92,0.02,Pending,943.0984
219,6,2024-11-08,Tacoma,30713.59,0.05,Completed,1535.6795000000002
220,19,2024-11-09,RAV4,29764.59,0.03,Completed,892.9377
221,19,2024-11-02,Highlander,42548.21,0.02,Completed,850.9642
222,16,2024-11-27,Camry,28490.24,0.03,Completed,854.7072000000001
223,1,2024-11-22,RAV4,32885.28,0.03,Completed,986.5583999999999
224,18,2024-11-06,Camry,25823.75,0.05,Completed,1291.1875
225,5,2024-11-04,Camry,26318.24,0.03,Completed,789.5472
226,5,2024-11-05,Tundra,38123.75,0.03,Completed,1143.7124999999999
227,9,2024-11-08,Tundra,44114.64,0.03,Completed,1323.4392
228,16,2024-11-03,Tundra,38618.35,0.05,Completed,1930.9175
229,18,2024-11-25,RAV4,31903.99,0.03,Cancelled,957.1197
230,18,2024-11-27,RAV4,34502.79,,Completed,0.0
231,20,2024-11-06,Corolla,21743.68,0.05,Completed,1087.184
232,2,2024-11-22,Tacoma,37011.28,,Completed,0.0
233,10,2024-11-25,RAV4,28467.32,0.03,Cancelled,854.0196
234,8,2024-11-05,Camry,26532.61,0.02,Pending,530.6522
235,15,2024-11-24,Tacoma,36918.52,0.03,Completed,1107.5556
236,10,2024-11-06,Highlander,36631.91,0.03,Completed,1098.9573
237,18,2024-11-08,Highlander,37386.0,0.05,Pending,1869.3000000000002
238,18,2024-11-29,Tacoma,35032.53,0.02,Cancelled,700.6505999999999
239,18,2024-11-17,Tundra,36653.13,0.02,Completed,733.0626
240,19,2024-11-06,Tundra,45814.43,0.03,Completed,1374.4329
241,13,2024-11-27,RAV4,27453.76,0.02,Completed,549.0752
242,8,2024-11-28,Camry,28186.95,0.02,Completed,563.739
243,7,2024-11-18,Camry,28135.63,,Completed,0.0
244,4,2024-11-03,Corolla,20819.19,0.05,Cancelled,1040.9595
245,17,2024-11-03,Tacoma,31272.95,,Cancelled,0.0
246,7,2024-11-20,RAV4,34313.24,0.03,Pending,1029.3971999999999
247,11,2024-11-15,Tundra,37644.87,,Completed,0.0
248,9,2024-11-16,Highlander,36228.51,0.02,Completed,724.5702
249,20,2024-11-20,Highlander,40192.98,0.03,Cancelled,1205.7894000000001
250,8,2024-11-07,Tundra,36459.0,0.05,Completed,1822.95
251,5,2024-11-19,Camry,25337.88,,Pending,0.0
252,5,2024-11-07,Highlander,39843.79,,Completed,0.0
253,16,2024-11-04,Highlander,39673.91,0.05,Completed,1983.6955000000003
254,4,2024-11-01,Corolla,22774.52,0.05,Pending,1138.726
255,12,2024-11-11,Tacoma,32265.92,0.03,Completed,967.9775999999999
256,10,2024-11-25,Tacoma,37248.8,,Cancelled,0.0
257,13,2024-11-28,Tundra,37464.06,0.02,Pending,749.2812
258,4,2024-11-08,Highlander,41486.53,0.05,Completed,2074.3265
259,13,2024-11-18,Corolla,23883.81,0.02,Completed,477.67620000000005
260,3,2024-11-12,Tacoma,32836.22,0.05,Pending,1641.8110000000001
261,16,2024-11-05,RAV4,28269.26,0.03,Completed,848.0777999999999
262,18,2024-11-28,Camry,27260.14,0.02,Completed,545.2028
263,9,2024-11-04,Corolla,24503.6,0.02,Completed,490.072
264,2,2024-11-01,RAV4,30908.43,0.03,Cancelled,927.2529
265,1,2024-11-11,Camry,27859.25,0.05,Pending,1392.9625
266,1,2024-11-16,Camry,27149.79,0.05,Completed,1357.4895000000001
267,17,2024-11-03,Highlander,39848.63,0.03,Pending,1195.4588999999999
268,12,2024-11-14,Tacoma,31282.83,,Completed,0.0
269,7,2024-11-05,Tundra,43696.05,,Completed,0.0
270,18,2024-11-28,Highlander,38860.12,,Completed,0.0
271,7,2024-11-07,Tundra,40804.49,,Pending,0.0
272,12,2024-11-26,Tundra,38834.22,0.05,Pending,1941.7110000000002
273,16,2024-11-05,Corolla,22342.83,0.03,Completed,670.2849
274,13,2024-11-26,Corolla,21767.94,0.03,Cancelled,653.0382
275,6,2024-11-15,Highlander,36912.34,0.03,Completed,1107.3701999999998
276,5,2024-11-13,RAV4,28759.16,0.05,Cancelled,1437.958
277,13,2024-11-27,Highlander,35490.42,0.02,Completed,709.8084
278,12,2024-11-11,Tundra,38050.09,0.03,Pending,1141.5026999999998
279,12,2024-11-19,Tundra,44526.38,,Cancelled,0.0
280,17,2024-11-14,RAV4,28874.81,0.02,Completed,577.4962
281,20,2024-11-21,Camry,28602.23,,Completed,0.0
282,10,2024-11-14,Camry,27047.1,0.03,Cancelled,811.4129999999999
283,3,2024-11-07,RAV4,31473.95,0.03,Completed,944.2185
284,2,2024-11-24,Camry,29369.06,0.03,Completed,881.0718
285,20,2024-11-07,Camry,29126.61,0.03,Pending,873.7983
286,5,2024-11-04,Tacoma,36896.69,0.02,Pending,737.9338
287,2,2024-11-10,Tundra,46201.8,0.05,Completed,2310.09
288,18,2024-11-03,Corolla,22505.36,,Completed,0.0
289,6,2024-11-17,Highlander,35377.24,0.05,Completed,1768.862
290,13,2024-11-10,Highlander,35102.56,0.05,Completed,1755.128
291,9,2024-11-29,Tacoma,32373.84,0.03,Completed,971.2152
292,20,2024-11-30,Tacoma,34857.95,,Completed,0.0
293,18,2024-11-25,Tundra,47441.45,0.05,Completed,2372.0724999999998
294,5,2024-11-23,Tundra,46590.04,0.05,Completed,2329.502
295,9,2024-11-12,Corolla,20650.94,0.05,Completed,1032.547
296,10,2024-11-08,Camry,28082.83,,Completed,0.0
297,7,2024-11-07,Corolla,20673.95,0.03,Completed,620.2185
298,14,2024-11-17,Tundra,39871.64,0.03,Completed,1196.1491999999998
299,18,2024-11-26,Tacoma,37510.47,0.05,Completed,1875.5235000000002
300,20,2024-11-13,Tundra,38715.73,0.03,Pending,1161.4719
301,2,2024-11-15,Camry,26249.79,,Cancelled,0.0
302,18,2024-11-01,Tundra,46279.17,0.03,Completed,1388.3751
303,15,2024-11-17,Corolla,20934.3,,Completed,0.0
304,9,2024-11-17,RAV4,28249.37,,Completed,0.0
305,16,2024-11-14,RAV4,32867.17,0.05,Completed,1643.3585
306,18,2024-11-01,Camry,28615.36,0.03,Completed,858.4608
307,11,2024-11-20,Corolla,24122.61,0.05,Pending,1206.1305
308,11,2024-11-23,Tacoma,31624.59,0.02,Completed,632.4918
309,7,2024-11-22,Highlander,40464.02,0.02,Completed,809.2804
310,16,2024-11-22,Camry,26255.85,0.03,Completed,787.6754999999999
311,13,2024-11-19,Highlander,37850.05,,Completed,0.0
312,16,2024-11-08,Tundra,43059.02,,Pending,0.0
313,15,2024-11-29,RAV4,30728.09,0.03,Completed,921.8426999999999
314,14,2024-11-03,RAV4,31413.99,0.03,Completed,942.4197
315,13,2024-11-13,Tundra,38464.44,,Completed,0.0
316,4,2024-11-15,Corolla,21403.33,0.05,Completed,1070.1665
317,1,2024-11-01,Camry,27690.66,0.03,Completed,830.7198
318,7,2024-11-28,Corolla,21924.79,,Completed,0.0
319,3,2024-11-06,Camry,25691.32,0.03,Pending,770.7396
320,16,2024-11-06,RAV4,29824.95,0.02,Completed,596.499
321,16,2024-11-25,RAV4,31356.77,,Completed,0.0
322,8,2024-11-01,RAV4,30599.11,0.03,Pending,917.9733
323,2,2024-11-16,Camry,26185.46,0.02,Completed,523.7092
324,5,2024-11-04,Tundra,35537.56,0.05,Completed,1776.878
325,17,2024-11-20,Camry,28876.66,,Completed,0.0
326,1,2024-11-30,Tacoma,32891.35,0.05,Completed,1644.5675
327,1,2024-11-03,Tacoma,34087.87,0.03,Completed,1022.6361
328,19,2024-11-19,Camry,29396.94,0.02,Completed,587.9388
329,20,2024-11-27,Camry,28098.65,0.02,Cancelled,561.9730000000001
330,13,2024-11-25,Corolla,22461.18,0.05,Completed,1123.059
331,2,2024-11-24,RAV4,30649.25,0.05,Completed,1532.4625
332,5,2024-11-04,Corolla,22610.35,0.05,Cancelled,1130.5175
333,10,2024-11-27,Highlander,39226.76,,Completed,0.0
334,10,2024-11-24,Highlander,44005.39,0.05,Completed,2200.2695
335,11,2024-11-27,Tundra,38484.02,,Completed,0.0
336,14,2024-11-12,RAV4,29914.81,0.05,Completed,1495.7405
337,3,2024-11-02,Camry,25974.81,0.05,Completed,1298.7405
338,14,2024-11-07,RAV4,34233.94,0.02,Completed,684.6788
339,3,2024-11-24,Tundra,38094.66,,Completed,0.0
340,17,2024-11-26,Corolla,24043.66,0.03,Pending,721.3098
341,1,2024-11-16,Tacoma,37297.04,,Pending,0.0
342,13,2024-11-15,Highlander,43981.88,0.02,Completed,879.6376
343,17,2024-11-02,Tundra,45023.27,,Completed,0.0
344,19,2024-11-05,Tundra,46840.11,0.02,Cancelled,936.8022000000001
345,5,2024-11-17,Tacoma,37840.9,0.03,Completed,1135.227
346,1,2024-11-24,Camry,29794.24,,Completed,0.0
347,16,2024-11-03,RAV4,28217.91,0.05,Completed,1410.8955
348,11,2024-11-19,Corolla,23262.14,0.03,Pending,697.8642
349,17,2024-11-01,Tundra,41372.43,0.02,Completed,827.4486
350,11,2024-11-16,Tundra,46508.16,0.02,Completed,930.1632000000001
351,4,2024-11-25,Highlander,44875.86,0.05,Pending,2243.793
352,7,2024-11-30,Corolla,20570.36,0.03,Completed,617.1108
353,8,2024-11-30,Tundra,44104.05,,Completed,0.0
354,20,2024-11-10,RAV4,30945.82,0.05,Pending,1547.2910000000002
355,12,2024-11-29,Corolla,23802.38,,Completed,0.0
356,6,2024-11-25,RAV4,30624.81,,Completed,0.0
357,6,2024-11-02,Highlander,39038.15,0.03,Completed,1171.1445
358,2,2024-11-05,Camry,27614.79,0.02,Completed,552.2958
359,8,2024-11-08,Camry,28601.82,0.02,Completed,572.0364
360,7,2024-11-10,Highlander,42534.37,,Completed,0.0
361,10,2024-11-15,Tacoma,30311.02,0.02,Completed,606.2204
362,16,2024-11-20,Camry,26639.27,,Cancelled,0.0
363,19,2024-11-01,Highlander,41342.23,0.03,Completed,1240.2669
364,13,2024-11-03,RAV4,34773.59,,Completed,0.0
365,15,2024-11-10,RAV4,32362.2,,Completed,0.0
366,4,2024-11-21,Corolla,20653.68,,Pending,0.0
367,1,2024-11-11,RAV4,28045.56,,Pending,0.0
368,3,2024-11-14,Highlander,44654.76,0.03,Cancelled,1339.6428
369,16,2024-11-05,Tacoma,30979.28,0.03,Completed,929.3783999999999
370,7,2024-11-29,Tundra,49575.74,0.05,Completed,2478.7870000000003
371,5,2024-11-29,Corolla,24471.39,0.03,Pending,734.1416999999999
372,9,2024-11-12,Highlander,36673.33,,Completed,0.0
373,6,2024-11-10,Tundra,39627.55,0.02,Completed,792.551
374,14,2024-11-26,Tacoma,31277.99,0.05,Cancelled,1563.8995000000002
375,17,2024-11-06,Corolla,20834.22,0.05,Pending,1041.711
376,18,2024-11-22,Camry,28589.0,,Completed,0.0
377,1,2024-11-05,Corolla,21851.68,,Cancelled,0.0
378,13,2024-11-17,Tacoma,31899.81,,Completed,0.0
379,14,2024-11-26,Tundra,49650.97,,Completed,0.0
380,12,2024-11-11,RAV4,28704.3,0.02,Completed,574.086
381,13,2024-11-26,RAV4,30057.58,0.02,Pending,601.1516
382,9,2024-11-14,Tacoma,30199.92,0.03,Completed,905.9975999999999
383,10,2024-11-27,Tacoma,31640.64,0.05,Completed,1582.0320000000002
384,10,2024-11-22,Corolla,21228.73,0.05,Completed,1061.4365
385,10,2024-11-20,Tacoma,31838.0,0.02,Completed,636.76
386,5,2024-11-13,Camry,27853.75,,Completed,0.0
387,19,2024-11-18,RAV4,30035.32,0.02,Completed,600.7064
388,17,2024-11-28,Highlander,36881.13,,Completed,0.0
389,13,2024-11-30,RAV4,28363.0,0.03,Pending,850.89
390,16,2024-11-16,Tundra,48109.6,0.03,Completed,1443.288
391,14,2024-11-13,Camry,25777.56,0.03,Completed,773.3268
392,15,2024-11-28,Tacoma,30337.74,,Completed,0.0
393,20,2024-11-16,Camry,28033.91,0.05,Completed,1401.6955
394,11,2024-11-25,Camry,26488.68,0.02,Completed,529.7736
395,9,2024-11-08,Corolla,20122.84,0.02,Completed,402.4568
396,11,2024-11-18,Highlander,36156.36,0.03,Cancelled,1084.6908
397,6,2024-11-04,Corolla,21351.34,,Pending,0.0
398,3,2024-11-24,Tundra,48565.64,0.03,Completed,1456.9692
399,15,2024-11-12,Highlander,42981.01,,Completed,0.0
400,17,2024-11-18,Corolla,21446.28,,Completed,0.0
401,20,2024-11-08,Tacoma,37829.94,0.03,Completed,1134.8982
402,15,2024-11-21,Corolla,22046.96,0.02,Pending,440.93919999999997
403,2,2024-11-03,Highlander,43701.27,0.05,Completed,2185.0634999999997
404,5,2024-11-12,Corolla,20220.42,0.05,Pending,1011.021
405,4,2024-11-11,RAV4,34218.51,0.05,Completed,1710.9255000000003
406,12,2024-11-10,RAV4,29097.99,0.05,Completed,1454.8995000000002
407,13,2024-11-23,Tundra,43416.42,0.05,Cancelled,2170.821
408,14,2024-11-27,Corolla,24734.71,0.05,Pending,1236.7355
409,11,2024-11-24,Highlander,37042.88,,Completed,0.0
410,20,2024-11-07,Camry,25476.86,0.03,Pending,764.3058
